"bug_id","title","area","environment","severity","priority","reproducibility","preconditions","steps_to_reproduce","expected_result","actual_result","suspected_root_cause","evidence_files","status","fix_commit_or_change","retest_status","regression_status","notes"
"BUG-001","Sidebar bottom items cut off at standard viewport height","Frontend / Navigation","prod https://www.ironvault.app","High","P0","Always","Viewport height ≤ 800px (typical laptop/default browser)","1. Open app at 1280x800 viewport 2. Unlock vault 3. Look at sidebar","Profile, Activity Logs, Settings, Upgrade to Pro all visible without scrolling","Items below API Keys are hidden below viewport edge — user must scroll sidebar to reach Profile/Settings","Sidebar has 15 nav items ~40px each; at 800px viewport the last 3-4 items overflow the visible area","evidence/ss_91306r6o5.jpeg","FIXED","App.tsx: sidebar split into scrollable primary + pinned bottom section","PASS — bottom items (Profile/Activity Logs/Settings/Upgrade) visible without scroll at 736px viewport","NO REGRESSION — 73/73 e2e tests pass","Verified visually via screenshot ss_8731n5lyq"
"BUG-002","Sidebar has no active state indicator for current route","Frontend / Navigation","prod https://www.ironvault.app","Medium","P1","Always","Vault unlocked","1. Unlock vault 2. Navigate to any page e.g. /profile 3. Observe sidebar","Current page's nav item should be visually highlighted/active","No nav item is ever highlighted as active — previously viewed item retains hover state giving false impression of active state","Desktop sidebar Button has no conditional active class — no useLocation() comparison in nav render loop","","FIXED","App.tsx: added [location] capture from useLocation() + conditional bg-accent font-semibold active class on nav items","PASS — Dashboard item highlighted as active on / route","NO REGRESSION — 73/73 e2e tests pass","Verified visually via screenshot ss_8731n5lyq"
"BUG-003","Public info pages (/privacy /terms /about /contact) require authentication","Frontend / Auth","prod https://www.ironvault.app","Critical","P0","Always","User not logged in","1. Visit https://www.ironvault.app/privacy (or /terms /about /contact) while not logged in","Privacy Policy, Terms of Service etc. should display without requiring login","Redirects to login screen — public pages are completely inaccessible without vault unlock","Router component returns <Login /> for ALL routes when isUnlocked=false — public routes not exempted from auth guard","","FIXED","App.tsx: added PUBLIC_PATHS array + public-only Switch branch returned when path matches and vault is locked","PASS — /privacy and /terms both render without auth","NO REGRESSION — 73/73 e2e tests pass","STORE BLOCKER RESOLVED"
"BUG-004","No standalone marketing/landing page for unauthenticated visitors","Frontend / Landing","prod https://www.ironvault.app","Medium","P1","Always","User not logged in","Navigate to https://www.ironvault.app/ without having a vault","Marketing landing page explaining the product","Shows the vault unlock/create screen immediately — no product introduction for new users","Same as BUG-003 root cause: all routes return Login when not authenticated. Landing page phase was planned but current Router has no public / route.","","FIXED","Merged claude/elegant-cohen landing page work: Router now returns LandingPage at / when !isUnlocked; framer-motion animations; blog/changelog/status pages; SEO meta + sitemap + robots.txt","PASS — marketing landing page renders at / for unauthenticated visitors","NO REGRESSION — 73/73 e2e tests pass","Deployed to www.ironvault.app — 2026-04-07"
"BUG-005","Admin console branding uses wrong product names","Admin Console","prod https://admin.ironvault.app","High","P0","Always","Navigate to admin console","1. Visit https://admin.ironvault.app","Admin console should show IronVault branding","Tab title shows ""SubSafe Admin Console""; page header shows ""SecureVault Admin"" — neither mentions IronVault","Admin console frontend HTML title and header component not updated from previous product names (SubSafe / SecureVault)","","FIXED","index.html title → IronVault Admin Console; Layout.tsx header → IronVault / IronVault Admin; backend email subject → Welcome to IronVault","PASS — page title and sidebar headers show correct IronVault branding","NO REGRESSION","Verified via Chrome MCP inspection of admin console"
"BUG-006","Admin console accessible without entering credentials","Admin Console","prod https://admin.ironvault.app","High","P1","Reproducible with prior browser session","Previous admin session exists in browser cookies/localStorage","1. Navigate to https://admin.ironvault.app without going through login flow","Should prompt for admin username/password if no active session","Logged in immediately as admin with no prompt — full admin access to customer data","Admin console may rely on session cookie that persists indefinitely or has very long TTL","","NOT A BUG","","N/A","N/A","JWT TTL is 24h (expiresIn: '24h' in jwt.sign). Session was valid from prior login. Login page shows when token absent or expired. Standard SPA behaviour."
"BUG-007","Admin customer list shows 0 total despite displaying customer rows","Admin Console","prod https://admin.ironvault.app","Medium","P1","Always","Admin logged in","1. Go to admin console 2. Click Customers","Customer List header shows correct total count matching visible rows","Header shows ""Customer List (0 total)"" but 8 rows are visible; Dashboard shows Total Customers: 8 but Active Customers: 0","Admin backend customer count query returns 0 (possibly counting by active/paid status) while list query returns all records regardless of status","","FIXED","backend: added flat total field alongside pagination object; frontend: updated to accept both shapes with ?? chaining","PASS — Customer List shows (5 total) matching 5 visible rows","NO REGRESSION","Verified live at admin.ironvault.app/customers — 2026-04-07"
"BUG-008","saketsuman33@gmail.com shown as Free plan in admin despite lifetime entitlement","Admin Console / Plans","prod https://admin.ironvault.app","Low","P2","Reproducible","Admin logged in","1. Go to Customers 2. Find saketsuman33@gmail.com","Should show Lifetime or Pro plan (was set to lifetime in credentials doc)","Shows as Free plan","admin-data.json had planType:lifetime but plan_name:'free' — the display field was wrong","","FIXED","admin-data.json: updated plan_name and subscription_plan from 'free' to 'Lifetime'; total_spent set to 299","PASS — saketsuman33@gmail.com shows Lifetime in Plan column","NO REGRESSION","Verified live at admin.ironvault.app/customers — 2026-04-07"
"BUG-009","Landing page not scrollable; landing→vault path confirmed working","Frontend / Landing","prod https://www.ironvault.app","High","P0","Always","Unauthenticated visitor on landing page","1. Visit https://www.ironvault.app 2. Try to scroll down 3. Also try Log in CTA","Page scrolls normally; Log in navigates to /auth/login; after unlock lands on Dashboard","Page cannot be scrolled (stuck at hero section); Log in CTA does navigate correctly to /auth/login","index.css sets overflow-y:hidden on html/body/#root globally for vault app scroll management — this also blocks public page scroll. Landing was never being used pre-fix so this was never caught.","","FIXED","App.tsx: PublicPageWrapper component sets overflowY:auto on html/body/#root on mount; restores hidden on unmount when vault unlocks","PASS — landing page scrollable; Log in → /auth/login → unlock → Dashboard flow verified","NO REGRESSION — 73/73 e2e tests pass","2026-04-07"
"BUG-010","No signup form — /auth/signup showed vault unlock screen; no plan selection or customer details captured at signup","Frontend / Signup","prod https://www.ironvault.app","High","P0","Always","Unauthenticated visitor on landing page","1. Click Get Started / Get started free CTA 2. Observe what appears","Dedicated signup form with name/email/phone/country/plan/password fields","Showed the generic vault unlock/create screen with no customer details and no plan selection","Landing page CTAs pointed /auth/signup but that route used the Login component (vault unlock). Customer details dialog only appeared after vault creation as an afterthought popup.","","FIXED","New SignupPage component at /auth/signup with all fields inline (email/name/vault name/country/phone/plan selector/master password). Post-signup: free/pro → dashboard; family/lifetime → /upgrade. App.tsx wired /auth/signup → SignupPage.","PASS — signup form renders at /auth/signup; Free plan → dashboard; Lifetime plan → /upgrade; Log In existing user → unlock → dashboard","NO REGRESSION — 73/73 e2e tests pass","2026-04-07"
